seed,label,baseline_transition_t,fit_transition_t,gate_pass,align_fail_families,order_fail_families,diverges_from_baseline,q_force,q_info,q_constraint,tau_force,tau_info,tau_constraint,p_force,p_info,p_constraint,n_s1,n_s2,n_s3,n_pt_candidates,tau_force_alt,tau_info_alt,tau_constraint_alt,p_force_alt,p_info_alt,p_constraint_alt,n_s1_alt,n_s2_alt,n_s3_alt,n_pt_candidates_alt,notes
seed_140,NO_TRANSITION,1000,,False,,,True,0.995,0.995,0.995,10.665643906453624,0.014022435060784044,0.0802557334172862,0.006024096385542169,0.007530120481927711,0.006024096385542169,4,5,4,0,2.149448463693261,0.03273366303847647,0.038972105614186514,0.006024096385542169,0.007530120481927711,0.006024096385542169,4,5,4,0,
seed_141,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,4.2572886877460405,0.009335634843754659,0.05842500354090932,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.8618812737404369,0.022064048231160704,0.014131783675530418,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_142,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.8586299857706763,0.007310605118724611,0.0628667029803128,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.5828936421778053,0.01727797647279994,0.011824190350297414,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_143,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.320237849606201,0.0068757336325261376,0.07241602590044516,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.6711086507129949,0.016191148785381415,0.015546657381615564,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_144,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.440085913898656,0.007634353467207422,0.05851173895742143,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.49862687613785966,0.017963887528841038,0.018868128506639464,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_145,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.442623642797116,0.007303003532732277,0.08173670119892912,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.6970499142655171,0.017240920268250193,0.019410350787162384,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_146,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.061246401106473,0.007940932411639845,0.060042413352111745,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.41076601300155746,0.018657449491622735,0.015137239560932977,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_147,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,4.441581329912879,0.007037753442382888,0.0549145367157908,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,1.2967532960814427,0.016619337337731466,0.012087044762656457,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,
seed_148,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.412512543727644,0.007893097365664126,0.05941230486685034,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.6896365580148995,0.01869304075302214,0.014274852782161326,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_149,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,1.2256799111492,0.007944457267599514,0.06902795885846735,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.3561484429131574,0.01866910230892671,0.014862575345955198,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_150,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,10.734658713219687,0.007573552168159026,0.07438316687063282,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,2.1434708668850364,0.017867615326935038,0.01866928577806279,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_151,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.4606851647840813,0.007003727438468221,0.06272581132916327,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.698950424254872,0.016472503207378253,0.024411039950780825,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_152,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,4.314030000648927,0.007393859336354391,0.06088348271446864,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,1.0826350307557728,0.017332002398238178,0.012404476903922684,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,
seed_153,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.5944108319235966,0.0077059252433118175,0.06938067712634188,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.7272675201878883,0.018135503697537914,0.015473543797243222,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_154,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,1.5519462802330963,0.007451510278776663,0.055986490645245274,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.3346009877161123,0.01757823918074264,0.012539325842696625,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_155,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,1.7822383645689115,0.007363292488474782,0.063348271446863,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.3743418416008353,0.017332906905224377,0.01499750249750248,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_156,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,8.087431764928624,0.008805525903646916,0.06555811295348146,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,1.6374940190929919,0.02079803856908491,0.018673721231808882,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_157,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.692311679100385,0.009037897083441049,0.05730659025787965,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.7441116955582402,0.021285115816242595,0.014260275524905691,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_158,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.9752747474703938,0.008898729555367302,0.061737089201877954,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.8078965857392177,0.020857747902420787,0.01656587596350828,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_159,REGISTERED_TRANSITION,2500,1000,True,,,False,0.995,0.995,0.995,7.064869327004999,0.007976821948726953,0.06674694243755017,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,1.436084233276779,0.01876184522959612,0.015609489123995332,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,
seed_160,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.014765390311368,0.008552517375416846,0.051850444750947744,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.6131315387436189,0.020179978081199756,0.015750577582280684,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_161,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.0681338126887567,0.00781446792855478,0.06580379726571253,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.6288102742866613,0.018522264579323267,0.021259588605557156,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_162,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.0450491243973374,0.00794013511306757,0.05598825331971399,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.6127664005965926,0.018633633092971724,0.014772727272727298,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_163,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.6685597500763834,0.009205110845467268,0.06890756302521006,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.8205111416561217,0.021794721798597205,0.020556912181623754,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,
seed_164,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.906726964865811,0.009615841923368729,0.05460117002507198,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.7894752456166315,0.022751930511895058,0.01983981461643851,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_165,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.7605031519779004,0.008613098110575756,0.05612508412502151,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.5662667509517633,0.020279110142075396,0.023300162441493133,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_166,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,5.794807206548285,0.00688518605825339,0.052972003210424445,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,1.1548261334071868,0.01628552493784774,0.015900106441437287,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_167,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.826952749164775,0.007429437118664062,0.05442642173148329,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.7721454708836972,0.017525748561484367,0.01632925897631779,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_168,REGISTERED_TRANSITION,2500,5000,True,,,False,0.995,0.995,0.995,6.200889801606536,0.007863794267560675,0.05929240555279336,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,1.2498807610943912,0.018386547062530845,0.018391230160007738,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,
seed_169,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.501425660389941,0.00694486810415651,0.069735052147438,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.5126100160065107,0.016346495956503837,0.015079502796315203,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_170,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,4.301066220155917,0.010045207447107019,0.06124699278267842,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.8629915956873446,0.02376843775009041,0.012425303264674753,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_171,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,5.087066126288846,0.011239629281447061,0.06173076615291048,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,1.0393516775919125,0.026565458955591037,0.01510325060256662,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_172,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,9.85178314242512,0.00870461918611043,0.06196617368688348,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,2.2015428505837917,0.020542986429226584,0.01938378034187585,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,
seed_173,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.540880659071263,0.007023936280924015,0.0509139248919907,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.7224755351169734,0.016549958952790877,0.012813668685395324,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_174,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,5.635330307064578,0.00774478334485551,0.06218257998984256,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,1.1739292958984153,0.0182776741228734,0.015506629078576889,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_175,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.4495132576994365,0.008642059588820028,0.06404538341158059,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.4883145701896865,0.0204165915233947,0.015127046075353853,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_176,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.6746890201757196,0.008163735475234413,0.060756512861047995,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.6546389685245231,0.019244047542580578,0.02047188822519061,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,1,
seed_177,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.671031517558731,0.00867809065116898,0.06093444519810079,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.5532873790187296,0.020442526627973745,0.01836870341356886,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_178,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,3.7391473681200296,0.008189841453271951,0.05887196377109924,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.7541103108495009,0.019365258591558465,0.017803999284710978,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
seed_179,NO_TRANSITION,2500,,False,,,True,0.995,0.995,0.995,2.7633696412085555,0.0065982587329049824,0.0627210505632696,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,0.5589301914296811,0.015505146697034178,0.014969176000694584,0.0066555740432612314,0.0066555740432612314,0.0066555740432612314,4,4,4,0,
