DATE,P_rec,R_nber,L_idx,C_claims,C_ff,C_yield_curve,I_sent,unrate,indpro
1990-01-01,0.64,0.0,1.71,,8.23,,93.0,5.4,61.729
1990-01-31,,,,361000.0,,0.12142857142857141,,,
1990-02-01,0.36,0.0,1.45,,8.24,,89.5,5.3,62.2896
1990-02-28,,,,358250.0,,0.10263157894736842,,,
1990-03-01,0.58,0.0,1.67,,8.28,,91.3,5.2,62.5999
1990-03-31,,,,345200.0,,-0.038181818181818185,,,
1990-04-01,1.36,0.0,1.31,,8.26,,93.9,5.4,62.4359
1990-04-30,,,,361750.0,,0.0615,,,
1990-05-01,1.7,0.0,1.1,,8.18,,90.6,5.4,62.6258
1990-05-31,,,,355250.0,,0.11590909090909092,,,
1990-06-01,3.24,0.0,1.07,,8.29,,88.3,5.2,62.8382
1990-06-30,,,,362400.0,,0.12904761904761905,,,
1990-07-01,8.94,0.0,0.64,,8.15,,88.2,5.5,62.7284
1990-07-31,,,,367000.0,,0.3142857142857143,,,
1990-08-01,16.94,1.0,0.42,,8.13,,76.4,5.7,62.9475
1990-08-31,,,,384250.0,,0.691304347826087,,,
1990-09-01,35.32,1.0,-0.11,,8.2,,72.8,5.9,62.9523
1990-09-30,,,,394000.0,,0.8136842105263158,,,
1990-10-01,57.24,1.0,-0.07,,8.11,,63.9,5.9,62.5845
1990-10-31,,,,425250.0,,0.8418181818181818,,,
1990-11-01,62.42,1.0,-0.26,,7.81,,66.0,6.2,61.7887
1990-11-30,,,,446750.0,,0.7935,,,
1990-12-01,60.6,1.0,-0.3,,7.31,,65.5,6.3,61.3352
1990-12-31,,,,455000.0,,0.761,,,
1991-01-01,57.38,1.0,-0.22,,6.91,,66.8,6.4,61.1355
1991-01-31,,,,439750.0,,0.9676190476190476,,,
1991-02-01,49.04,1.0,-0.3,,6.25,,70.4,6.6,60.6838
1991-02-28,,,,484000.0,,0.9878947368421053,,,
1991-03-01,31.8,1.0,-0.31,,6.12,,87.7,6.8,60.3346
1991-03-31,,,,498600.0,,1.0070000000000001,,,
1991-04-01,3.8,0.0,0.05,,5.91,,81.8,6.7,60.4938
1991-04-30,,,,467250.0,,1.0909090909090908,,,
1991-05-01,0.78,0.0,0.45,,5.78,,78.3,6.9,61.0633
1991-05-31,,,,447000.0,,1.2840909090909092,,,
1991-06-01,0.48,0.0,0.83,,5.9,,82.1,6.9,61.5581
1991-06-30,,,,428600.0,,1.328,,,
1991-07-01,0.54,0.0,1.22,,5.82,,82.9,6.8,61.7305
1991-07-31,,,,418250.0,,1.355,,,
1991-08-01,0.5,0.0,0.91,,5.66,,82.0,6.9,61.7298
1991-08-31,,,,431600.0,,1.466818181818182,,,
1991-09-01,0.52,0.0,0.94,,5.45,,83.0,6.9,62.2195
1991-09-30,,,,424500.0,,1.4685000000000001,,,
1991-10-01,0.78,0.0,0.82,,5.21,,78.3,7.0,62.1855
1991-10-31,,,,422750.0,,1.615,,,
1991-11-01,0.96,0.0,0.7,,4.81,,69.1,7.0,62.0871
1991-11-30,,,,445400.0,,1.858421052631579,,,
1991-12-01,1.1,0.0,0.73,,4.43,,68.2,7.3,61.7852
1991-12-31,,,,456750.0,,2.0628571428571427,,,
1992-01-01,0.42,0.0,0.83,,4.03,,67.5,7.3,61.4616
1992-01-31,,,,439000.0,,2.0742857142857143,,,
1992-02-01,0.1,0.0,1.01,,4.06,,68.8,7.4,61.8955
1992-02-29,,,,442200.0,,2.1257894736842107,,,
1992-03-01,0.14,0.0,1.17,,3.98,,76.0,7.4,62.4232
1992-03-31,,,,429500.0,,1.8572727272727272,,,
1992-04-01,0.14,0.0,1.28,,3.73,,77.2,7.4,62.897
1992-04-30,,,,418250.0,,2.136190476190476,,,
1992-05-01,0.2,0.0,1.4,,3.82,,79.2,7.6,63.104
1992-05-31,,,,417400.0,,2.1665,,,
1992-06-01,0.2,0.0,1.37,,3.76,,80.4,7.8,63.1363
1992-06-30,,,,418750.0,,2.213636363636364,,,
1992-07-01,0.2,0.0,1.23,,3.25,,76.6,7.7,63.7176
1992-07-31,,,,442750.0,,2.489090909090909,,,
1992-08-01,0.78,0.0,1.31,,3.3,,76.1,7.6,63.3613
1992-08-31,,,,407200.0,,2.392857142857143,,,
1992-09-01,0.42,0.0,1.45,,3.22,,75.6,7.6,63.5703
1992-09-30,,,,417000.0,,2.520952380952381,,,
1992-10-01,0.24,0.0,1.75,,3.1,,73.3,7.3,63.9995
1992-10-31,,,,377800.0,,2.5061904761904765,,,
1992-11-01,0.24,0.0,1.75,,3.09,,85.3,7.4,64.2422
1992-11-30,,,,362250.0,,2.2936842105263158,,,
1992-12-01,0.24,0.0,2.18,,2.92,,91.0,7.4,64.3507
1992-12-31,,,,339000.0,,2.096363636363636,,,
1993-01-01,0.26,0.0,1.79,,3.02,,89.3,7.3,64.5978
1993-01-31,,,,345600.0,,2.21,,,
1993-02-01,0.32,0.0,2.1,,3.03,,86.6,7.1,64.9089
1993-02-28,,,,338250.0,,2.1605263157894736,,,
1993-03-01,0.92,0.0,1.61,,3.07,,85.9,7.0,64.8522
1993-03-31,,,,351000.0,,2.0256521739130435,,,
1993-04-01,0.24,0.0,1.64,,2.96,,85.6,7.1,65.0301
1993-04-30,,,,354750.0,,2.131904761904762,,,
1993-05-01,0.4,0.0,1.45,,3.0,,80.3,7.1,64.784
1993-05-31,,,,343600.0,,2.0585,,,
1993-06-01,0.28,0.0,1.6,,3.04,,81.5,7.0,64.9301
1993-06-30,,,,342750.0,,1.799090909090909,,,
1993-07-01,0.18,0.0,1.92,,3.06,,77.0,6.9,65.1052
1993-07-31,,,,350800.0,,1.7333333333333332,,,
1993-08-01,0.18,0.0,2.0,,3.03,,77.3,6.8,65.0267
1993-08-31,,,,341000.0,,1.6763636363636365,,,
1993-09-01,0.1,0.0,2.04,,3.09,,77.9,6.7,65.3717
1993-09-30,,,,339000.0,,1.512857142857143,,,
1993-10-01,0.12,0.0,1.76,,2.99,,82.7,6.8,65.8509
1993-10-31,,,,349800.0,,1.4594999999999998,,,
1993-11-01,0.12,0.0,2.09,,3.02,,81.2,6.6,66.1518
1993-11-30,,,,341000.0,,1.5685,,,
1993-12-01,0.06,0.0,2.26,,2.96,,88.2,6.5,66.5436
1993-12-31,,,,323000.0,,1.5618181818181818,,,
1994-01-01,0.06,0.0,1.94,,3.05,,94.3,6.6,66.7351
1994-01-31,,,,359200.0,,1.6105,,,
1994-02-01,0.1,0.0,1.95,,3.25,,93.2,6.6,66.774
1994-02-28,,,,348500.0,,1.4989473684210526,,,
1994-03-01,0.04,0.0,2.01,,3.34,,91.5,6.5,67.4552
1994-03-31,,,,335750.0,,1.4873913043478262,,,
1994-04-01,0.04,0.0,2.2,,3.56,,92.6,6.4,67.8541
1994-04-30,,,,344000.0,,1.4226315789473685,,,
1994-05-01,0.1,0.0,2.2,,4.01,,92.8,6.1,68.1663
1994-05-31,,,,359000.0,,1.2152380952380952,,,
1994-06-01,0.1,0.0,2.27,,4.25,,91.2,6.1,68.6265
1994-06-30,,,,340000.0,,1.17,,,
1994-07-01,0.1,0.0,2.18,,4.26,,89.0,6.1,68.7178
1994-07-31,,,,342200.0,,1.168,,,
1994-08-01,0.06,0.0,2.4,,4.47,,91.7,6.0,69.1785
1994-08-31,,,,336250.0,,1.058695652173913,,,
1994-09-01,0.12,0.0,2.08,,4.73,,91.5,5.9,69.3961
1994-09-30,,,,330250.0,,1.0647619047619048,,,
1994-10-01,0.12,0.0,2.08,,4.76,,92.7,5.8,69.9544
1994-10-31,,,,333400.0,,1.0154999999999998,,,
1994-11-01,0.1,0.0,2.14,,5.29,,91.6,5.6,70.4326
1994-11-30,,,,328000.0,,0.8065,,,
1994-12-01,0.12,0.0,2.13,,5.45,,95.1,5.5,71.1523
1994-12-31,,,,323200.0,,0.22428571428571428,,,
1995-01-01,0.2,0.0,2.03,,5.53,,97.6,5.6,71.2734
1995-01-31,,,,333500.0,,0.2725,,,
1995-02-01,0.5,0.0,1.68,,5.92,,95.1,5.4,71.193
1995-02-28,,,,337750.0,,0.35789473684210527,,,
1995-03-01,0.44,0.0,1.57,,5.98,,90.3,5.4,71.3113
1995-03-31,,,,340250.0,,0.42913043478260865,,,
1995-04-01,0.3,0.0,1.19,,6.05,,92.5,5.8,71.1882
1995-04-30,,,,350200.0,,0.4947368421052632,,,
1995-05-01,0.14,0.0,1.04,,6.01,,89.8,5.6,71.5378
1995-05-31,,,,370250.0,,0.46181818181818185,,,
1995-06-01,0.08,0.0,1.15,,6.0,,92.7,5.6,71.7749
1995-06-30,,,,366250.0,,0.4522727272727272,,,
1995-07-01,0.14,0.0,1.13,,5.85,,94.4,5.7,71.4748
1995-07-31,,,,371400.0,,0.49799999999999994,,,
1995-08-01,0.06,0.0,1.62,,5.74,,96.2,5.7,72.4223
1995-08-31,,,,356250.0,,0.5073913043478261,,,
1995-09-01,0.1,0.0,1.5,,5.8,,88.9,5.6,72.7144
1995-09-30,,,,362000.0,,0.3915,,,
1995-10-01,0.28,0.0,1.75,,5.76,,90.2,5.5,72.5866
1995-10-31,,,,371500.0,,0.3476190476190476,,,
1995-11-01,0.24,0.0,1.48,,5.8,,88.2,5.6,72.7779
1995-11-30,,,,377000.0,,0.45142857142857146,,,
1995-12-01,0.2,0.0,1.46,,5.6,,91.0,5.6,73.0305
1995-12-31,,,,365000.0,,0.387,,,
1996-01-01,0.42,0.0,1.47,,5.56,,89.3,5.6,72.6125
1996-01-31,,,,374000.0,,0.54,,,
1996-02-01,0.06,0.0,1.45,,5.22,,88.5,5.5,73.6752
1996-02-29,,,,377250.0,,0.78,,,
1996-03-01,0.12,0.0,1.42,,5.31,,93.7,5.5,73.585
1996-03-31,,,,386400.0,,0.6076190476190476,,,
1996-04-01,0.04,0.0,1.67,,5.22,,92.7,5.6,74.3172
1996-04-30,,,,359250.0,,0.5540909090909091,,,
1996-05-01,0.06,0.0,1.79,,5.24,,89.4,5.6,74.8726
1996-05-31,,,,344500.0,,0.6418181818181817,,,
1996-06-01,0.08,0.0,2.08,,5.27,,92.4,5.3,75.4433
1996-06-30,,,,342200.0,,0.615,,,
1996-07-01,0.22,0.0,2.0,,5.4,,94.7,5.5,75.4549
1996-07-31,,,,337000.0,,0.5954545454545455,,,
1996-08-01,0.14,0.0,2.0,,5.22,,95.3,5.1,75.8411
1996-08-31,,,,331800.0,,0.6063636363636363,,,
1996-09-01,0.1,0.0,1.73,,5.3,,94.7,5.2,76.3158
1996-09-30,,,,342750.0,,0.598,,,
1996-10-01,0.04,0.0,1.63,,5.24,,96.5,5.2,76.3384
1996-10-31,,,,339000.0,,0.620909090909091,,,
1996-11-01,0.04,0.0,1.48,,5.31,,99.2,5.4,77.0397
1996-11-30,,,,336400.0,,0.5021052631578947,,,
1996-12-01,0.04,0.0,1.45,,5.29,,96.9,5.4,77.5333
1996-12-31,,,,353500.0,,0.5204761904761904,,,
1997-01-01,0.04,0.0,1.61,,5.25,,97.4,5.3,77.6562
1997-01-31,,,,339000.0,,0.570952380952381,,,
1997-02-01,0.02,0.0,1.82,,5.19,,99.7,5.2,78.5833
1997-02-28,,,,320750.0,,0.5210526315789474,,,
1997-03-01,0.04,0.0,2.01,,5.39,,100.0,5.2,79.082
1997-03-31,,,,319400.0,,0.4725,,,
1997-04-01,0.12,0.0,1.91,,5.51,,101.4,5.1,79.1747
1997-04-30,,,,327000.0,,0.43727272727272726,,,
1997-05-01,0.02,0.0,2.04,,5.5,,103.2,4.9,79.6133
1997-05-31,,,,323800.0,,0.4342857142857143,,,
1997-06-01,0.04,0.0,1.94,,5.56,,104.5,5.0,79.9792
1997-06-30,,,,325500.0,,0.3990476190476191,,,
1997-07-01,0.04,0.0,2.03,,5.52,,107.1,4.9,80.6624
1997-07-31,,,,320250.0,,0.32954545454545453,,,
1997-08-01,0.06,0.0,1.58,,5.54,,104.4,4.8,81.4694
1997-08-31,,,,330200.0,,0.3595238095238095,,,
1997-09-01,0.02,0.0,1.93,,5.54,,106.0,4.9,82.2156
1997-09-30,,,,315250.0,,0.32666666666666666,,,
1997-10-01,0.02,0.0,2.02,,5.5,,105.6,4.7,82.9446
1997-10-31,,,,310000.0,,0.25772727272727275,,,
1997-11-01,0.02,0.0,2.05,,5.52,,107.2,4.6,83.5978
1997-11-30,,,,314600.0,,0.1622222222222222,,,
1997-12-01,0.08,0.0,2.09,,5.5,,102.1,4.7,83.9538
1997-12-31,,,,313250.0,,0.09363636363636364,,,
1998-01-01,0.1,0.0,1.88,,5.56,,106.6,4.6,84.3218
1998-01-31,,,,321200.0,,0.1875,,,
1998-02-01,0.1,0.0,1.87,,5.51,,110.4,4.6,84.4583
1998-02-28,,,,319000.0,,0.1568421052631579,,,
1998-03-01,0.14,0.0,1.66,,5.49,,106.5,4.7,84.488
1998-03-31,,,,315000.0,,0.08590909090909092,,,
1998-04-01,0.18,0.0,1.88,,5.45,,108.7,4.3,84.7779
1998-04-30,,,,311000.0,,0.07333333333333333,,,
1998-05-01,0.16,0.0,1.98,,5.49,,106.5,4.4,85.3367
1998-05-31,,,,311200.0,,0.059,,,
1998-06-01,0.98,0.0,1.68,,5.56,,105.6,4.5,84.8248
1998-06-30,,,,338000.0,,-0.023636363636363636,,,
1998-07-01,0.74,0.0,1.67,,5.54,,105.2,4.5,84.4986
1998-07-31,,,,333000.0,,0.0031818181818181815,,,
1998-08-01,0.18,0.0,1.69,,5.55,,104.4,4.5,86.248
1998-08-31,,,,312600.0,,0.07333333333333333,,,
1998-09-01,0.18,0.0,1.95,,5.51,,100.9,4.6,86.2021
1998-09-30,,,,304000.0,,0.14047619047619048,,,
1998-10-01,0.18,0.0,1.69,,5.07,,97.4,4.5,86.7914
1998-10-31,,,,310600.0,,0.43809523809523804,,,
1998-11-01,0.2,0.0,1.74,,4.83,,102.7,4.4,86.7256
1998-11-30,,,,316000.0,,0.28736842105263155,,,
1998-12-01,0.2,0.0,1.89,,4.68,,100.5,4.4,87.1185
1998-12-31,,,,316000.0,,0.13863636363636364,,,
1999-01-01,0.18,0.0,1.66,,4.63,,103.9,4.3,87.4949
1999-01-31,,,,326200.0,,0.1068421052631579,,,
1999-02-01,0.12,0.0,1.87,,4.76,,108.1,4.4,88.027
1999-02-28,,,,301500.0,,0.12263157894736842,,,
1999-03-01,0.12,0.0,1.86,,4.81,,105.7,4.2,88.2267
1999-03-31,,,,302750.0,,0.17956521739130435,,,
1999-04-01,0.2,0.0,1.8,,4.74,,104.6,4.3,88.4295
1999-04-30,,,,308500.0,,0.20772727272727273,,,
1999-05-01,0.06,0.0,1.68,,4.74,,106.8,4.2,88.9886
1999-05-31,,,,301600.0,,0.28500000000000003,,,
1999-06-01,0.14,0.0,1.67,,4.76,,107.3,4.3,88.9188
1999-06-30,,,,294000.0,,0.2809090909090909,,,
1999-07-01,0.1,0.0,1.86,,4.99,,106.0,4.3,89.4333
1999-07-31,,,,298000.0,,0.23714285714285716,,,
1999-08-01,0.16,0.0,1.74,,5.07,,104.5,4.2,89.7924
1999-08-31,,,,290750.0,,0.2609090909090909,,,
1999-09-01,0.28,0.0,1.62,,5.22,,107.2,4.2,89.4299
1999-09-30,,,,289500.0,,0.25333333333333335,,,
1999-10-01,0.04,0.0,1.69,,5.2,,103.2,4.1,90.523
1999-10-31,,,,290400.0,,0.2495,,,
1999-11-01,0.08,0.0,1.96,,5.42,,107.2,4.1,90.9618
1999-11-30,,,,281750.0,,0.172,,,
1999-12-01,0.1,0.0,1.9,,5.3,,105.4,4.0,91.6634
1999-12-31,,,,278500.0,,0.1709090909090909,,,
2000-01-01,0.26,0.0,1.61,,5.45,,112.0,4.0,91.538
2000-01-31,,,,288400.0,,0.221,,,
2000-02-01,0.32,0.0,1.48,,5.73,,111.3,4.1,91.8239
2000-02-29,,,,293750.0,,-0.091,,,
2000-03-01,0.18,0.0,1.88,,5.85,,107.1,4.0,92.1504
2000-03-31,,,,274750.0,,-0.2717391304347826,,,
2000-04-01,0.22,0.0,2.13,,6.02,,109.2,3.8,92.6989
2000-04-30,,,,271600.0,,-0.4131578947368421,,,
2000-05-01,0.48,0.0,1.85,,6.27,,110.7,4.0,92.9499
2000-05-31,,,,282250.0,,-0.3690909090909091,,,
2000-06-01,0.8,0.0,1.26,,6.53,,106.4,4.0,92.9862
2000-06-30,,,,291000.0,,-0.3845454545454546,,,
2000-07-01,1.02,0.0,0.99,,6.54,,108.3,4.0,92.8048
2000-07-31,,,,295000.0,,-0.28500000000000003,,,
2000-08-01,1.36,0.0,1.05,,6.5,,107.3,4.1,92.5521
2000-08-31,,,,312750.0,,-0.4026086956521739,,,
2000-09-01,1.38,0.0,1.06,,6.52,,106.8,3.9,92.9792
2000-09-30,,,,300200.0,,-0.28250000000000003,,,
2000-10-01,3.7,0.0,1.19,,6.51,,105.8,3.9,92.6179
2000-10-31,,,,301000.0,,-0.1738095238095238,,,
2000-11-01,5.02,0.0,0.97,,6.51,,107.6,3.9,92.6438
2000-11-30,,,,334250.0,,-0.15809523809523812,,,
2000-12-01,9.18,0.0,0.8,,6.4,,98.4,3.9,92.3415
2000-12-31,,,,346000.0,,-0.1115,,,
2001-01-01,16.72,0.0,0.95,,5.98,,94.7,4.2,91.902
2001-01-31,,,,340000.0,,0.40095238095238095,,,
2001-02-01,21.34,0.0,0.66,,5.49,,90.6,4.2,91.3034
2001-02-28,,,,371250.0,,0.4421052631578948,,,
2001-03-01,25.7,0.0,0.46,,5.31,,91.5,4.3,91.1162
2001-03-31,,,,387200.0,,0.5431818181818181,,,
2001-04-01,29.94,1.0,0.26,,4.8,,88.4,4.4,90.7891
2001-04-30,,,,396750.0,,0.907,,,
2001-05-01,29.04,1.0,0.44,,4.21,,92.0,4.3,90.3555
2001-05-31,,,,394500.0,,1.1313636363636363,,,
2001-06-01,29.62,1.0,0.6,,3.97,,92.6,4.5,89.8784
2001-06-30,,,,397200.0,,1.2042857142857142,,,
2001-07-01,28.18,1.0,0.28,,3.77,,92.4,4.6,89.3028
